Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0715	6.6E-5	0.0563	7.4E-5	0.0759	5.8E-5	0.0910	3.2E-5	0.0835	4.8E-5	0.0888	4.1E-5	0.0788	5.6E-5
0.0718	6.6E-5	0.0567	7.5E-5	0.0764	5.7E-5	0.0914	3.2E-5	0.0841	4.8E-5	0.0893	4.0E-5	0.0794	5.5E-5
0.0721	6.6E-5	0.0571	7.5E-5	0.0768	5.6E-5	0.0918	3.1E-5	0.0847	4.7E-5	0.0898	3.9E-5	0.0799	5.4E-5
0.0725	6.5E-5	0.0575	7.5E-5	0.0773	5.6E-5	0.0921	3.0E-5	0.0853	4.7E-5	0.0904	3.9E-5	0.0804	5.4E-5
0.0729	6.5E-5	0.0579	7.5E-5	0.0778	5.5E-5	0.0925	3.0E-5	0.0859	4.6E-5	0.0909	3.8E-5	0.0809	5.3E-5
0.0733	6.5E-5	0.0582	7.5E-5	0.0783	5.5E-5	0.0930	3.0E-5	0.0865	4.5E-5	0.0914	3.7E-5	0.0814	5.2E-5
0.0737	6.4E-5	0.0586	7.5E-5	0.0788	5.4E-5	0.0934	2.9E-5	0.0870	4.4E-5	0.0919	3.6E-5	0.0819	5.1E-5
0.0742	6.4E-5	0.0590	7.5E-5	0.0793	5.3E-5	0.0939	2.9E-5	0.0875	4.3E-5	0.0924	3.6E-5	0.0824	5.0E-5
0.0746	6.3E-5	0.0593	7.5E-5	0.0798	5.3E-5	0.0943	2.8E-5	0.0880	4.2E-5	0.0929	3.5E-5	0.0828	5.0E-5
0.0751	6.3E-5	0.0596	7.4E-5	0.0802	5.2E-5	0.0947	2.8E-5	0.0885	4.2E-5	0.0935	3.4E-5	0.0833	4.9E-5
0.0756	6.2E-5	0.0600	7.4E-5	0.0807	5.1E-5	0.0952	2.7E-5	0.0889	4.1E-5	0.0941	3.3E-5	0.0837	4.8E-5
0.0760	6.1E-5	0.0603	7.4E-5	0.0812	5.1E-5	0.0956	2.6E-5	0.0894	4.0E-5	0.0946	3.2E-5	0.0842	4.7E-5
0.0765	6.0E-5	0.0607	7.4E-5	0.0816	5.0E-5	0.0960	2.6E-5	0.0898	4.0E-5	0.0951	3.2E-5	0.0847	4.6E-5
0.0769	5.9E-5	0.0611	7.4E-5	0.0820	4.9E-5	0.0964	2.6E-5	0.0902	3.9E-5	0.0956	3.1E-5	0.0851	4.5E-5
0.0774	5.8E-5	0.0616	7.3E-5	0.0824	4.9E-5	0.0968	2.5E-5	0.0906	3.8E-5	0.0961	3.1E-5	0.0856	4.5E-5
0.0778	5.7E-5	0.0620	7.3E-5	0.0827	4.8E-5	0.0973	2.5E-5	0.0910	3.8E-5	0.0967	3.0E-5	0.0861	4.4E-5
0.0782	5.6E-5	0.0624	7.3E-5	0.0830	4.8E-5	0.0977	2.4E-5	0.0913	3.7E-5	0.0973	3.0E-5	0.0866	4.3E-5
0.0787	5.5E-5	0.0628	7.2E-5	0.0834	4.7E-5	0.0982	2.4E-5	0.0917	3.7E-5	0.0978	3.0E-5	0.0871	4.2E-5
0.0792	5.4E-5	0.0632	7.2E-5	0.0837	4.7E-5	0.0986	2.4E-5	0.0921	3.6E-5	0.0983	2.9E-5	0.0875	4.2E-5
0.0796	5.3E-5	0.0636	7.2E-5	0.0840	4.6E-5	0.0991	2.4E-5	0.0925	3.6E-5	0.0988	2.9E-5	0.0879	4.1E-5
0.0801	5.2E-5	0.0640	7.1E-5	0.0843	4.5E-5	0.0996	2.4E-5	0.0928	3.6E-5	0.0993	2.8E-5	0.0883	4.0E-5
0.0806	5.1E-5	0.0644	7.1E-5	0.0846	4.5E-5	0.1001	2.4E-5	0.0932	3.5E-5	0.0997	2.8E-5	0.0887	4.0E-5
0.0811	5.0E-5	0.0648	7.0E-5	0.0849	4.4E-5	0.1006	2.4E-5	0.0936	3.5E-5	0.1001	2.7E-5	0.0891	3.9E-5
0.0815	5.0E-5	0.0652	7.0E-5	0.0852	4.3E-5	0.1011	2.3E-5	0.0940	3.5E-5	0.1004	2.7E-5	0.0895	3.9E-5
0.0820	4.9E-5	0.0655	6.9E-5	0.0855	4.3E-5	0.1016	2.3E-5	0.0943	3.4E-5	0.1007	2.7E-5	0.0899	3.8E-5
0.0825	4.8E-5	0.0659	6.9E-5	0.0858	4.2E-5	0.1021	2.3E-5	0.0947	3.4E-5	0.1010	2.7E-5	0.0903	3.7E-5
0.0830	4.7E-5	0.0663	6.8E-5	0.0861	4.1E-5	0.1026	2.2E-5	0.0950	3.3E-5	0.1013	2.6E-5	0.0906	3.7E-5
0.0835	4.6E-5	0.0667	6.8E-5	0.0865	4.1E-5	0.1031	2.2E-5	0.0954	3.3E-5	0.1016	2.5E-5	0.0910	3.6E-5
0.0840	4.6E-5	0.0671	6.7E-5	0.0868	4.1E-5	0.1036	2.1E-5	0.0958	3.2E-5	0.1019	2.5E-5	0.0913	3.6E-5
0.0846	4.5E-5	0.0675	6.7E-5	0.0872	4.0E-5	0.1041	2.1E-5	0.0962	3.2E-5	0.1023	2.5E-5	0.0917	3.5E-5
0.0851	4.4E-5	0.0679	6.6E-5	0.0875	4.0E-5	0.1045	2.1E-5	0.0966	3.2E-5	0.1027	2.5E-5	0.0920	3.5E-5
0.0856	4.3E-5	0.0683	6.6E-5	0.0879	4.0E-5	0.1050	2.0E-5	0.0969	3.1E-5	0.1032	2.4E-5	0.0923	3.4E-5
0.0861	4.3E-5	0.0688	6.6E-5	0.0882	3.9E-5	0.1054	2.0E-5	0.0973	3.1E-5	0.1037	2.4E-5	0.0925	3.4E-5
0.0865	4.2E-5	0.0692	6.6E-5	0.0886	3.9E-5	0.1060	1.9E-5	0.0977	3.0E-5	0.1042	2.3E-5	0.0928	3.3E-5
0.0869	4.1E-5	0.0697	6.6E-5	0.0890	3.8E-5	0.1065	1.9E-5	0.0981	3.0E-5	0.1047	2.3E-5	0.0930	3.3E-5
0.0874	4.0E-5	0.0701	6.5E-5	0.0893	3.8E-5	0.1069	1.8E-5	0.0984	2.9E-5	0.1052	2.3E-5	0.0933	3.2E-5
0.0879	3.9E-5	0.0706	6.5E-5	0.0896	3.7E-5	0.1074	1.8E-5	0.0988	2.9E-5	0.1057	2.3E-5	0.0936	3.2E-5
0.0884	3.9E-5	0.0710	6.4E-5	0.0900	3.7E-5	0.1078	1.8E-5	0.0992	2.9E-5	0.1062	2.2E-5	0.0939	3.1E-5
0.0889	3.8E-5	0.0714	6.4E-5	0.0904	3.6E-5	0.1083	1.8E-5	0.0996	2.8E-5	0.1068	2.2E-5	0.0943	3.1E-5
0.0894	3.7E-5	0.0718	6.3E-5	0.0909	3.6E-5	0.1088	1.7E-5	0.1000	2.8E-5	0.1072	2.2E-5	0.0946	3.1E-5
0.0898	3.7E-5	0.0723	6.3E-5	0.0914	3.5E-5	0.1093	1.7E-5	0.1004	2.8E-5	0.1077	2.2E-5	0.0949	3.0E-5
0.0902	3.6E-5	0.0726	6.2E-5	0.0919	3.5E-5	0.1098	1.7E-5	0.1006	2.8E-5	0.1082	2.2E-5	0.0953	3.0E-5
0.0906	3.5E-5	0.0729	6.1E-5	0.0923	3.4E-5	0.1103	1.7E-5	0.1009	2.7E-5	0.1087	2.1E-5	0.0956	3.0E-5
0.0910	3.5E-5	0.0733	6.1E-5	0.0926	3.3E-5	0.1108	1.6E-5	0.1012	2.7E-5	0.1092	2.1E-5	0.0960	2.9E-5
0.0915	3.4E-5	0.0736	6.0E-5	0.0930	3.3E-5	0.1112	1.6E-5	0.1016	2.7E-5	0.1096	2.1E-5	0.0965	2.9E-5
0.0919	3.3E-5	0.0739	6.0E-5	0.0933	3.2E-5	0.1116	1.6E-5	0.1019	2.6E-5	0.1100	2.0E-5	0.0969	2.9E-5
0.0923	3.3E-5	0.0742	5.9E-5	0.0938	3.1E-5	0.1120	1.5E-5	0.1023	2.6E-5	0.1104	2.0E-5	0.0974	2.8E-5
0.0927	3.2E-5	0.0745	5.9E-5	0.0943	3.0E-5	0.1125	1.5E-5	0.1026	2.6E-5	0.1108	2.0E-5	0.0978	2.8E-5
0.0931	3.1E-5	0.0749	5.8E-5	0.0948	3.0E-5	0.1129	1.5E-5	0.1030	2.5E-5	0.1111	1.9E-5	0.0983	2.7E-5
