Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.1098	1.2E-5	0.1182	1.5E-6			0.1214	6.3E-6	0.1205	5.6E-6	0.1241	5.3E-6	0.1162	7.3E-6
0.1101	1.2E-5	0.1182	1.7E-6			0.1217	6.4E-6	0.1205	5.3E-6	0.1241	5.4E-6	0.1165	7.1E-6
0.1104	1.2E-5	0.1182	1.9E-6			0.1220	6.2E-6	0.1205	5.1E-6	0.1241	5.5E-6	0.1167	6.8E-6
0.1107	1.2E-5	0.1182	2.2E-6			0.1222	6.0E-6	0.1205	4.8E-6	0.1241	5.5E-6	0.1169	6.6E-6
0.1110	1.2E-5	0.1182	2.5E-6			0.1224	5.7E-6	0.1205	4.6E-6	0.1241	5.5E-6	0.1170	6.3E-6
0.1113	1.1E-5	0.1182	2.7E-6			0.1226	5.6E-6	0.1205	4.7E-6	0.1241	5.4E-6	0.1171	6.2E-6
0.1115	1.1E-5	0.1182	2.9E-6			0.1227	5.6E-6	0.1205	4.7E-6	0.1241	5.4E-6	0.1171	6.2E-6
0.1116	1.1E-5	0.1182	3.1E-6			0.1228	5.8E-6	0.1205	4.9E-6	0.1241	5.3E-6	0.1171	6.2E-6
0.1118	1.0E-5	0.1182	3.1E-6			0.1229	6.0E-6	0.1205	5.1E-6	0.1241	5.1E-6	0.1171	6.2E-6
0.1120	9.9E-6	0.1182	3.1E-6			0.1230	6.1E-6	0.1205	5.3E-6	0.1241	4.9E-6	0.1171	6.2E-6
0.1122	9.8E-6	0.1182	3.2E-6			0.1231	6.2E-6	0.1205	5.5E-6	0.1241	4.6E-6	0.1171	6.1E-6
0.1125	9.6E-6	0.1182	3.4E-6			0.1233	6.3E-6	0.1205	5.4E-6	0.1241	4.3E-6	0.1171	6.0E-6
0.1127	9.4E-6	0.1182	3.6E-6			0.1235	6.3E-6	0.1205	5.2E-6	0.1241	4.1E-6	0.1171	5.8E-6
0.1129	9.2E-6	0.1182	3.7E-6			0.1238	6.5E-6	0.1205	5.1E-6	0.1241	4.1E-6	0.1171	5.5E-6
0.1131	9.0E-6	0.1182	3.8E-6			0.1240	6.6E-6	0.1205	5.1E-6	0.1241	4.1E-6	0.1171	5.3E-6
0.1133	9.1E-6	0.1182	3.7E-6			0.1241	6.6E-6	0.1205	5.1E-6	0.1241	4.1E-6	0.1171	5.1E-6
0.1136	9.2E-6	0.1182	3.5E-6			0.1242	6.6E-6	0.1205		0.1241	4.0E-6	0.1171	5.0E-6
0.1139	9.3E-6	0.1182	3.3E-6			0.1244	6.4E-6			0.1241	3.9E-6	0.1171	4.9E-6
0.1141	9.4E-6	0.1182	3.1E-6			0.1244	6.2E-6			0.1241	3.7E-6	0.1171	4.8E-6
0.1144	9.4E-6	0.1182	3.1E-6			0.1245	6.0E-6			0.1241	3.5E-6	0.1171	4.8E-6
0.1146	9.4E-6	0.1182	3.1E-6			0.1245	5.9E-6			0.1241	3.3E-6	0.1171	4.7E-6
0.1148	9.2E-6	0.1182	3.1E-6			0.1245	5.7E-6			0.1241	3.2E-6	0.1171	4.6E-6
0.1151	9.2E-6	0.1182	3.1E-6			0.1245	5.7E-6			0.1241	3.2E-6	0.1171	4.6E-6
0.1153	9.3E-6	0.1182	3.2E-6			0.1245	5.8E-6			0.1241	3.2E-6	0.1171	4.6E-6
0.1155	9.3E-6	0.1182	3.4E-6			0.1245	5.8E-6			0.1241	3.1E-6	0.1171	4.6E-6
0.1157	9.3E-6	0.1182	3.6E-6			0.1245	5.9E-6			0.1241	3.2E-6	0.1171	4.7E-6
0.1159	9.2E-6	0.1182	3.8E-6			0.1245	6.0E-6			0.1241	3.5E-6	0.1171	4.9E-6
0.1161	9.3E-6	0.1182	3.9E-6			0.1245	6.1E-6			0.1241		0.1171	5.0E-6
0.1163	9.4E-6	0.1182				0.1245	6.2E-6					0.1171	5.1E-6
0.1165	9.5E-6					0.1245	6.3E-6					0.1171	5.2E-6
